CityName,State_Capital,2010pop,2013pop,Growth,Form of Government,Median Income,Poverty,Nonwhite,Region,Subregion,Land Area Sq M,Density_pop_sq_km,FT_emp,FT_pay,PT_emp,PT_pay,FTE
AlbuquerqueNM,0,545852,556495,0.019497959,Mayor-Council,47989,0.165123715,0.287974799,West,Mountain,487347513,1141.88538,5991,33781588,1021,973418,6458
AlexandriaVA,0,139966,148892,0.06377263,Council-Manager,85706,0.07872832,0.359420673,South,South Atlantic,38977689,3819.928883,4745,28421407,978,1551625,5158
AllentownPA,0,118032,118577,0.004617392,Mayor-Council,35560,0.242837215,0.350881346,Northeast,Middle Atlantic,45448161,2609.060463,,,,,
AtlantaGA,1,420003,447841,0.066280479,Mayor-Council,46631,0.21976287,0.606610432,South,South Atlantic,344721741,1299.137672,7846,34806952,96,264745,7925
AuroraCO,0,325078,345803,0.06375393,Council-Manager,50987,0.151835827,0.345781504,West,Mountain,397605365,869.7141197,2629,14508083,24,36733,2642
AustinTX,1,790390,885400,0.12020648,Council-Manager,53946,0.174645076,0.268093929,Midwest,West South Central,809990131,1093.099738,12175,69012335,1434,1811934,12859
BaltimoreMD,0,620961,622104,0.001840695,Mayor-Council,41385,0.214516168,0.697315128,South,South Atlantic,209643555,2967.4368,24718,125085309,2235,1946501,25781
Baton RougeLA,1,229493,229426,-0.000291948,Mayor-Council,38593,0.230828248,0.606830863,Midwest,West South Central,222507691,1031.092449,,,,,
BerkeleyCA,0,112580,116768,0.037200213,Mayor-Council,63312,0.169173163,0.37639538,West,Pacific,27106077,4307.816288,1517,13654730,441,821420,1690
BirminghamAL,0,212237,212113,-0.000584253,Mayor-Council,31445,0.272940955,0.773216515,South,East South Central,378353942,560.6205631,4693,20815311,270,404776,4901
BoiseID,1,205671,214237,0.041649041,Mayor-Council,48524,0.144054624,0.100998446,West,Mountain,210958870,1015.53919,1499,7558697,349,293098,1635
BoulderCO,0,97468,103166,0.058460213,Council-Manager,56312,0.20555384,0.108565906,West,Mountain,64316918,1604.025865,981,6372464,130,358298,1072
BridgeportCT,0,144229,147216,0.020710121,Mayor-Council,41050,0.213308881,0.554445108,Northeast,New England,41591056,3539.607169,,,,,
BuffaloNY,0,261310,258959,-0.008996977,Mayor-Council,30942,0.276994873,0.498188573,Northeast,Middle Atlantic,104592941,2475.874543,8209,41948611,1658,2606682,8763
Cape CoralFL,0,154305,165831,0.074696219,Council-Manager,49170,0.131584762,0.089858915,South,South Atlantic,273638135,606.0229873,1259,5422962,388,194366,1393
CentennialCO,0,100377,106114,0.057154527,Mayor-Council,89214,0.049578563,0.131576127,West,Mountain,75886044,1398.333533,,,,,
ClevelandOH,0,396815,390113,-0.016889483,Mayor-Council,26217,0.320359593,0.596041437,Midwest,East North Central,201255242,1938.3992,7172,34544545,663,522605,7376
ColumbiaMO,0,108500,115276,0.062451613,Council-Manager,43262,0.21567322,0.215502272,Midwest,West North Central,167264136,689.1853972,1310,5356939,426,430497,1510
ColumbusGA,0,189885,202824,0.068141243,Mayor-Council,41339,0.169080118,0.535288717,South,South Atlantic,560530243,361.8430986,2859,10065677,411,518435,3097
Coral SpringsFL,0,121096,126604,0.045484574,Council-Manager,64753,0.090268554,0.291093006,South,South Atlantic,61625913,2054.395527,802,4615732,178,221609,884
Des MoinesIA,1,203433,207510,0.020040996,Council-Manager,45836,0.165109656,0.220081299,Midwest,West North Central,230329957,900.9249283,1732,9846225,198,239028,1832
DowneyCA,0,111772,113242,0.013151773,Council-Manager,60939,0.110652162,0.400751331,West,Pacific,32136795,3523.749024,,,,,
ElginIL,0,108188,110145,0.018088882,Council-Manager,58675,0.126191669,0.342280901,Midwest,East North Central,96735384,1138.621624,,,,,
ElizabethNJ,0,124969,127558,0.020717138,Mayor-Council,44110,0.165917323,0.494137646,Northeast,Middle Atlantic,31904152,3998.162998,1309,8160790,252,207074,1402
Elk GroveCA,0,153015,161007,0.052230174,Council-Manager,77791,0.089880914,0.546874799,West,Pacific,109287233,1473.246193,,,,,
EriePA,0,101786,100671,-0.010954355,Mayor-Council,33049,0.246229916,0.236498756,Northeast,Middle Atlantic,49558861,2031.342084,,,,,
EvansvilleIN,0,117429,120310,0.024533974,Mayor-Council,35839,0.180619501,0.171428094,Midwest,East North Central,122628548,981.0929181,1185,5344531,208,150331,1246
FargoND,0,105549,113658,0.076826877,Council-Manager,45458,0.148960515,0.099925257,Midwest,West North Central,127339614,892.5580692,805,4197001,114,225322,871
Fort WorthTX,0,741206,792727,0.069509691,Council-Manager,51315,0.174206272,0.354411819,Midwest,West South Central,886358566,894.3637828,6104,32038473,561,498397,6340
FullertonCA,0,135161,138981,0.028262591,Council-Manager,67384,0.145264883,0.449408202,West,Pacific,58100816,2392.066232,,,,,
GainesvilleFL,0,124354,127488,0.025202245,Council-Manager,32492,0.302594461,0.337820335,South,South Atlantic,160466620,794.4829897,2033,9915896,152,184808,2108
Garden GroveCA,0,170883,175140,0.024911782,Council-Manager,59648,0.156263565,0.561564951,West,Pacific,46508935,3765.728026,,,,,
GilbertAZ,0,208453,229972,0.103231904,Mayor-Council,80355,0.062545495,0.162117552,West,Mountain,176107153,1305.86405,1115,6399993,133,116999,1157
GlendaleAZ,0,226721,234632,0.034893107,Council-Manager,47474,0.187109591,0.23760362,West,Mountain,153287936,1530.661878,,,,,
GreensboroNC,0,269666,279639,0.036982786,Council-Manager,41120,0.183850118,0.50622191,South,South Atlantic,328101989,852.2929131,2907,11329584,404,307742,3053
GreshamOR,0,105594,109397,0.036015304,Council-Manager,47417,0.178122318,0.198682787,West,Pacific,60299176,1814.237064,500,3655334,30,44926,510
HartfordCT,1,124775,125017,0.001939491,Mayor-Council,29430,0.294989211,0.651082874,Northeast,New England,45016120,2777.160715,5160,26150349,697,1979749,5678
HendersonNV,0,257729,270811,0.050758743,Council-Manager,64489,0.092558589,0.212469412,West,Mountain,271065144,999.0624246,1844,13102331,989,797673,2295
HuntsvilleAL,0,180105,186254,0.034141195,Mayor-Council,48881,0.151516315,0.375839883,South,East South Central,551710842,337.5935106,2516,11885276,285,267179,2655
Kansas CityKS,0,145786,148483,0.018499719,Commission,38293,0.228242405,0.401416282,Midwest,West North Central,323260926,459.3286353,,,,,
KnoxvilleTN,0,178874,183270,0.024575958,Mayor-Council,33595,0.204247083,0.222164464,South,East South Central,255169381,718.2288066,2448,11002759,262,187455,2524
LafayetteLA,0,120623,124276,0.03028444,Mayor-Council,46288,0.176708276,0.355883582,Midwest,West South Central,139368838,891.7057915,3215,11132812,263,288538,3366
LakewoodCO,0,142980,147214,0.029612533,Council-Manager,56492,0.115415485,0.124693835,West,Mountain,111039035,1325.786018,,,,,
LincolnNE,1,258379,268738,0.040092268,Mayor-Council,49113,0.146170411,0.128260248,Midwest,West North Central,236959636,1134.108764,2412,13398770,448,498862,2587
Long BeachCA,0,462257,469428,0.015513015,Council-Manager,52711,0.187916824,0.472246812,West,Pacific,130317968,3602.17403,4770,34883413,1011,1782926,5309
MadisonWI,1,233209,243344,0.043458872,Mayor-Council,53464,0.179106552,0.197396744,Midwest,East North Central,199072079,1222.391413,2538,11739534,508,630147,2743
ManchesterNH,0,109565,110378,0.007420253,Mayor-Council,54496,0.129422787,0.137290571,Northeast,New England,85730175,1287.504662,2915,14341127,524,603915,3159
MobileAL,0,195111,194899,-0.001086561,Mayor-Council,38644,0.206118412,0.546013653,South,East South Central,360423556,540.7498948,2754,9697624,293,353675,2908
MurrietaCA,0,103466,107479,0.038785688,Council-Manager,74496,0.064780464,0.333903848,West,Pacific,86975463,1235.739326,,,,,
NapervilleIL,0,141853,144864,0.021226199,Council-Manager,108302,0.0392814,0.248067699,Midwest,East North Central,100155901,1446.385071,956,6421556,227,388208,1082
New HavenCT,0,129779,130660,0.006788463,Mayor-Council,37428,0.233960932,0.55407479,Northeast,New England,48407373,2699.175599,5356,23681042,1447,997608,5665
NewarkNJ,0,277140,278427,0.004643862,Mayor-Council,33960,0.257851794,0.741286501,Northeast,Middle Atlantic,62658783,4443.543054,3667,15110035,249,236802,3761
PeoriaIL,0,115007,116513,0.013094855,Council-Manager,45270,0.197070999,0.365744029,Midwest,East North Central,124891316,932.9151436,719,4713074,80,133023,754
PittsburghPA,0,305704,305841,0.000448146,Mayor-Council,39195,0.200593344,0.336444903,Northeast,Middle Atlantic,143423857,2132.427662,3208,20032133,273,261466,3329
PomonaCA,0,149058,151348,0.015363147,Council-Manager,49474,0.197865419,0.373691719,West,Pacific,59446735,2545.943019,,,,,
PortlandOR,0,583776,609456,0.043989475,Commission,52657,0.167018953,0.226144173,West,Pacific,345681120,1763.058393,5299,35472315,1284,1369183,5711
RiversideCA,0,303871,316619,0.041952013,Council-Manager,55636,0.172977519,0.330283034,West,Pacific,210250843,1505.910728,2178,14075469,582,436426,2353
RochesterNY,0,210565,210358,-0.000983069,Mayor-Council,30875,0.293109997,0.549196673,Northeast,Middle Atlantic,92673587,2269.880845,8326,45257145,2263,3385663,9295
RockfordIL,0,152871,150251,-0.017138633,mayor-Council,38067,0.22885801,0.31687021,Midwest,East North Central,164313039,914.4192142,,,,,
SacramentoCA,1,466488,479686,0.02829226,Council-Manager,49753,0.20146688,0.496681705,West,Pacific,253621861,1891.34327,3549,23331012,625,924681,3854
Salt Lake CityUT,1,186440,191180,0.025423729,Mayor-Council,45862,0.184420195,0.23622177,West,Mountain,288044514,663.7168587,,,,,
Santa AnaCA,0,324528,334227,0.029886481,Mayor-Council,53335,0.194667786,0.545535853,West,Pacific,70306781,4753.837329,998,8556116,401,467536,1144
ScottsdaleAZ,0,217385,226918,0.043853072,Council-Manager,72154,0.083255379,0.101855994,West,Mountain,476404006,476.3142147,2177,12468652,418,536876,2382
South BendIN,0,101168,100886,-0.002787443,Mayor-Council,34502,0.254255773,0.366338499,Midwest,East North Central,107087887,942.0860083,1189,5398279,159,149334,1259
SpokaneWA,0,208916,210721,0.008639836,Mayor-Council,42092,0.175555428,0.132734702,West,Pacific,178034003,1183.599742,1936,12282501,270,313104,2058
SpringfieldMO,0,159498,164122,0.028990959,Council-Manager,32333,0.223979304,0.108655057,Midwest,West North Central,212600692,771.9730282,2586,14285488,566,611594,2876
StamfordCT,0,126456,126456,0,Mayor-Council,76779,0.103407395,0.398193476,Northeast,New England,97430572,1297.908833,3312,23196822,558,840767,3534
TallahasseeFL,1,181376,186411,0.027760012,Council-Manager,39524,0.270325314,0.430401115,South,South Atlantic,260089717,716.71807,2774,13663286,732,705842,3078
TopekaKS,1,127473,127679,0.001616028,Council-Manager,40826,0.189257591,0.225285015,Midwest,West North Central,157624601,810.0194969,1180,5532864,16,9217,1184
Virginia BeachVA,0,437994,448479,0.023938684,Council-Manager,65219,0.070751847,0.31394026,South,South Atlantic,646847466,693.3303809,15602,61428826,4250,4404690,17767
WashingtonDC,0,601723,646449,0.074329883,Mayor-Council,65830,0.167510264,0.599366131,South,South Atlantic,158364990,4082.019643,,,,,
WichitaKS,0,382368,386552,0.010942338,Council-Manager,46011,0.158265638,0.252789267,Midwest,West North Central,413834285,934.0743723,,,,,
AnchorageAK,0,291826,300950,0.031265206,Mayor-Council,77454,0.070628004,0.337748995,West,Pacific,4420344241,68.08293282,8492,48730023,1721,1655687,9132
AuroraIL,0,197899,199963,0.010429563,Mayor-Council,62493,0.129278504,0.446780995,Midwest,East North Central,116273605,1719.762624,,,,,
BellevueWA,0,122363,133992,0.095036898,Council-Manager,90333,0.073996393,0.38140532,West,Pacific,86712345,1545.247104,1241,9336200,253,334156,1325
BostonMA,1,617594,645966,0.045939565,Mayor-Council,53601,0.193293832,0.462931235,Northeast,New England,125253404,5157.273011,18691,114710350,2167,4171019,19837
CambridgeMA,0,105162,107289,0.020225937,Council-Manager,72529,0.121972441,0.32567597,Northeast,New England,16549500,6482.914892,5175,25759645,2187,5647844,6262
CharlotteNC,0,731424,792862,0.083997791,Council-Manager,52375,0.156517158,0.476062952,South,South Atlantic,790235666,1003.323482,7010,35244932,593,828656,7259
